	sample_name
0	Met_UPIP_217675_2023
1	Met_UPIP_235296_2023
5	Met_UPIP_278815_2023
9	Met_UPIP_307582_2023
10	Met_UPIP_339439_2023
23	Met_UPIP_352100_2023
26	Met_UPIP_388582_2023
37	Met_UPIP_389094_2023
42	Met_UPIP_392878_2023
52	Met_UPIP_412203_2023
55	Met_UPIP_412346_2023
75	Met_UPIP_412389_2023
100	Met_UPIP_413041_2023
112	Met_UPIP_413222_2023
134	Met_UPIP_413223_2023
142	Met_UPIP_413587_2023
144	Met_UPIP_413713_2_Oro_2023
152	Met_UPIP_413713_2_Urina_2023
161	Met_UPIP_414734_2023
167	Met_UPIP_416245_2023
171	Met_UPIP_478672_2023
174	Met_UPIP_Nm_16-20_2023
175	Met_UPIP_Nm_21-20_2023
176	Met_UPIP_Spn_481_2023
177	Met_UPIP_Spn_938_2023
179	Met_RPIP_189502_2023
183	Met_RPIP_217675_2023
185	Met_RPIP_235296_2023
188	Met_RPIP_278815_2023
190	Met_RPIP_286185_2023
193	Met_RPIP_307582_2023
195	Met_RPIP_339439_2023
203	Met_RPIP_345707_2023
204	Met_RPIP_352100_2023
206	Met_RPIP_372940_2023
208	Met_RPIP_388582_2023
216	Met_RPIP_389094_2023
223	Met_RPIP_391139_2023
225	Met_RPIP_392878_2023
234	Met_RPIP_412203_2023
237	Met_RPIP_412346_2023
240	Met_RPIP_413222_2023
246	Met_RPIP_413587_2023
248	Met_RPIP_413713_2_Oro_2023
256	Met_RPIP_413713_2_Urina_2023
259	Met_RPIP_414734_2023
272	Met_RPIP_416245_2023
281	Met_RPIP_478672_2023
283	Met_RPIP_A-1-1_2023
284	Met_RPIP_A-1-2_2023
285	Met_RPIP_A-1-3_2023
286	Met_RPIP_A-2-1_2023
287	Met_RPIP_A-2-2_2023
288	Met_RPIP_A-2-3_2023
289	Met_RPIP_A-3-1_2023
290	Met_RPIP_A-3-2_2023
292	Met_RPIP_A-3-3_2023
293	Met_RPIP_Nm_16-20_2023
294	Met_RPIP_Nm_21-20_2023
295	Met_RPIP_Rickettsia_1_2023
296	Met_RPIP_Rickettsia_2_2023
297	Met_RPIP_Rickettsia_3_2023
298	Met_RPIP_Spn_481_2023
300	Met_RPIP_Spn_938_2023
